Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.988,0.992,1.092,45.79.12.201,45.79.12.201
2,0.328,0.561,0.554,45.79.12.6,45.79.12.6
3,0.537,1.097,1.081,45.79.12.8,45.79.12.8
4,1.061,1.048,1.049,eqix-da1.a100.1.com,206.223.118.150
5,1.574,2.182,2.423,52.93.243.33,52.93.243.33
6,1.514,*,1.537,52.93.243.21,52.93.243.21
7,*,*,*
8,*,*,*
9,*,*,*
10,*,*,*
