Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.489,1.436,0.527,45.79.12.201,45.79.12.201
2,0.395,0.384,0.345,45.79.12.6,45.79.12.6
3,1.402,0.911,0.898,de-cix.dfw.google.com,206.53.202.11
4,1.957,1.944,1.076,108.170.240.129,108.170.240.129
5,1.192,1.046,1.166,216.239.42.135,216.239.42.135
6,1.014,0.974,0.980,dfw25s26-in-f14.1e100.net,172.217.9.142
