Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.609,0.720,0.827,45.79.12.202,45.79.12.202
2,0.620,4.080,0.588,45.79.12.0,45.79.12.0
3,0.935,1.034,0.902,eqix-da1.google.com,206.223.118.137
4,0.954,0.984,0.990,108.170.252.129,108.170.252.129
5,7.139,7.046,7.172,209.85.243.255,209.85.243.255
6,0.838,0.985,0.941,atl14s07-in-f132.1e100.net,172.217.1.132
