Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.094,0.324,0.325,*,111.67.5.252 
2,0.897,1.108,1.112,*,216.14.207.31 
3,13.430,13.425,13.417,*,101.0.127.77 
4,13.152,13.388,13.388,*,103.26.68.56 
5,14.343,13.298,13.536,*,108.170.247.33 
6,13.358,13.300,13.333,*,209.85.255.165 
7,13.051,13.207,13.234,*,216.58.203.100 
