Salto,T1,T2,T3,Direccion u organizacion,IP
1,80,100,1,192.168.0.1,192.168.0.1
2,4,5,4,10.32.0.57,10.32.0.57
3,9,5,6,10.5.2.22,10.5.2.22
4,12,14,11,*,72.14.218.226
5,92,98,202,*,108.170.253.209
6,679,269,280,*,74.125.252.61
7,4,11,6,bog02s07-in-f4.1e100.net,172.217.28.100
