Salto,T1,T2,T3,Direccion u organizacion,IP
1,160,156,156,*,184.104.192.113 
2,223,227,224,*,72.52.92.166 
3,283,283,283,*,184.105.81.218 
4,284,283,283,*,206.223.116.177 
5,292,304,295,*,52.93.70.194 
6,298,299,291,*,52.93.47.115 
7,*,*,*,*,*
8,*,*,*,*,*
9,*,*,*,*,*
10,*,*,*,*,*
11,*,*,*,*,*
12,285,294,299,*,143.204.132.173
