Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.869,0.533,0.836,45.79.12.202,45.79.12.202
2,0.431,0.404,0.400,45.79.12.2,45.79.12.2
3,1.610,1.589,1.576,equinix.br02.dfw1.tfbnw.net,206.223.118.176
4,0.850,0.836,0.831,po101.psw02.dfw5.tfbnw.net,157.240.41.119
5,0.813,0.875,0.852,157.240.36.123,157.240.36.123
6,0.829,0.811,0.796,edge-star-mini-shv-02-dfw5.facebook.com,31.13.93.35
