Salto,T1,T2,T3,Direccion u organizacion,IP
1,113,112,36,192.168.0.1,192.168.0.1
2,171,98,114,10.32.0.57,10.32.0.57
3,311,83,653,10.5.4.42,10.5.4.42
4,88,111,65,ae37.br03.bog1.tfbnw.net,157.240.65.162
5,223,97,42,po101.psw03.bog1.tfbnw.net,157.240.40.105
6,189,73,111,173.252.67.105,173.252.67.105
7,*,49,101,edge-star-mini-shv-01-bog1.facebook.com,157.240.6.35
