Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.182,0.185,0.422,*,111.67.5.252 
2,1.100,1.317,1.319,*,216.14.207.31 
3,13.104,13.101,13.099,*,101.0.127.77 
4,12.830,12.838,13.058,*,103.26.68.56 
5,13.340,15.289,15.300,*,108.170.247.81 
6,13.286,12.965,13.199,*,74.125.37.201 
7,12.671,12.771,13.195,*,172.217.25.142
