Salto,T1,T2,T3,Direccion u organizacion,IP
 1,0.072,0.027,0.022,host127.baires01.com.ar,200.26.189.127
 2,*,*,*
 3,0.752,0.704,0.765,ge-0-0-0.ARBUE.m20x1,200.61.128.254
 4,1.035,1.014,0.813,72.14.213.28,72.14.213.28
 5,1.241,1.215,1.192,108.170.248.241,108.170.248.241
 6,1.169,1.040,1.189,216.239.58.213,216.239.58.213
 7,0.990,1.464,1.428,eze03s29-in-f4.1e100.net,172.217.28.164
