Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.097,0.326,0.331,*,111.67.5.252 
2,0.993,1.006,1.231,*,216.14.207.31
3,2.125,2.139,2.347,*,49.255.129.233 
4,13.085,13.063,13.318,*,114.31.196.50 
5,13.736,13.539,13.716,*,103.1.77.56 
6,13.702,13.436,13.435,*,103.1.76.148 
7,12.476,12.973,12.981,*,103.1.77.17 
8,13.211,12.550,12.891,*,114.31.192.39 
9,126.773,116.301,116.263,*,175.45.124.226 
10,*,*,*,*,*	 
11,*,*,*,*,* 
12,*,*,*,*,*
