Salto,T1,T2,T3,Direccion u organizacion,IP
1,157,156,156,*,184.104.192.113 
2,223,223,223,*,72.52.92.166 
3,286,283,283,*,184.105.81.218 
4,*,*,*,*,*
5,284,284,285,*,129.134.38.32 
6,285,285,297,*,157.240.48.19 
7,300,300,298,*,157.240.38.183 
8,298,300,303,*,157.240.22.35 
