Salto,T1,T2,T3,Direccion u organizacion,IP
1,22,42,1,192.168.0.1,192.168.0.1
2,252,439,345,10.32.0.57,10.32.0.57
3,256,396,213,10.5.4.42,10.5.4.42
4,450,588,187,xe0-3-0.miami15.mia.seabone.net,89.221.41.38
5,136,77,82,amazon.miami15.mia.seabone.net,89.221.41.183
6,*,*,*
7,*,*,*
8,*,*,*
9,*,*,*
10,*,*,*
11,*,*,*
12,*,*,*
13,98,71,77,server-13-32-84-210.mia3.r.cloudfront.net,13.32.84.210
