Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.072,0.023,0.022,host127.baires01.com.ar,200.26.189.127
2,0.586,*,*,226.128.61.200.host.ifxnw.com.ar,200.61.128.226
3,0.892,0.730,0.614,200.61.128.254,200.61.128.254
4,0.819,0.816,0.793,72.14.213.28,72.14.213.28
5,1.256,1.236,1.207,108.170.248.241,108.170.248.241
6,1.186,1.100,1.199,216.239.58.213,216.239.58.213
7,1.166,1.070,1.020,eze03s29-in-f14.1e100.net,172.217.28.174
