Salto,T1,T2,T3,Direccion u organizacion,IP
1,156,169,157,*,184.104.192.113 
2,230,229,223,*,72.52.92.166 
3,283,283,283,*,184.105.81.218 
4,284,290,284,*,72.52.92.158 
5,334,286,294,*,198.32.176.214 
6,287,287,286,*,198.35.26.96 
