Salto,T1,T2,T3,Direccion u organizacion,IP
1,83,100,7,192.168.0.1,192.168.0.1
2,10,4,17,10.32.0.57,10.32.0.57
3,217,11,56,10.5.2.22,10.5.2.22
4,5,20,4,72.14.218.226,72.14.218.226
5,52,101,99,108.170.253.209,108.170.253.209
6,47,97,331,216.239.56.235,216.239.56.235
7,86,100,108,bog02s08-in-f14.1e100.net,172.217.30.206
