Salto,T1,T2,T3,Direccion u organizacion,IP
1,0.075,0.031,0.022,host127.baires01.com.ar,200.26.189.127
2,*,*,*,*,*,*
3,129.739,129.914,129.876,10.10.50.21,10.10.50.21
4,130.001,129.967,129.944,ae14.pr07.mia1.tfbnw.net,157.240.65.190
5,130.486,130.467,130.418,po107.psw01.mia3.tfbnw.net,157.240.34.67
6,130.579,130.628,130.606,157.240.36.57,157.240.36.57
7,130.435,130.357,130.555,edge-star-mini-shv-02-mia3.facebook.com,157.240.14.35
