Salto,T1,T2,T3,Direccion u organizacion,IP
1,1,1,1,*,196.60.8.166 
2,159,160,158,* ,172.253.67.159 
3,162,159,161, *,216.239.59.5 
4,236,230,225,*,172.253.65.174 
5,242,242,256 ,* ,216.239.57.136 
6,253,253,255,*,209.85.143.103 
7,262,262,262,* ,216.239.47.250 
8,288,286,320, *,209.85.248.126 
9,289,287,288,*,72.14.237.146 
10,287,287,288,*,108.170.242.241 
11,288,287,287,*,209.85.251.9 
12,285,285,285,*,172.217.0.36
