Salto,T1,T2,T3,Direccion u organizacion,IP
1,1,6,1,*,196.60.8.166 
2,158,161,158,*,172.253.67.159 
3,158,158,159,*,216.239.59.5 
4,228,225,225,*,172.253.65.174 
5,242,247,248,*,216.239.57.136 
6,283,253,253,*,209.85.143.103 
7,262,263,262,*,216.239.47.250 
8,287,292,287,*,209.85.248.126 
9,287,287,287,*,72.14.237.146 
10,289,286,288,*,108.170.242.241 
11,292,285,285,*,72.14.239.97 
12,285,294,299,*,216.58.195.78 
